slug,category,image_url,target_cents,is_contribution_item,already_owned,is_active,sort_order
inkless_pads,care,/images/items/inkless_pads.webp,12000,false,false,true,1
activity_spiral,play,/images/items/activity_spiral.webp,16990,false,false,true,2
first_bites_set,feeding,/images/items/first_bites_set.webp,79950,false,false,true,3
silicon_table_set,other,/images/items/silicon_table_set.webp,15980,false,false,true,4
beachtoys,other,/images/items/beachtoys.webp,25990,false,false,true,5
activityboard,play,/images/items/activityboard.webp,39990,false,false,true,6
sun_hat,travel,/images/items/sun_hat.webp,14980,false,false,true,7
teething_ring_figures,care,/images/items/teething_ring_figures.webp,11800,false,false,true,8
tower_8,play,/images/items/tower_8.webp,15210,false,false,true,9
snack_cup,feeding,/images/items/snack_cup.webp,17190,false,false,true,10
toy_paintpalette,play,/images/items/toy_paintpalette.webp,14270,false,false,true,11
bib_silicon,feeding,/images/items/bib_silicon.webp,16590,false,false,true,12
bib_jungle,feeding,/images/items/bib_jungle.webp,12000,false,false,true,13
activity_carpet,other,/images/items/activity_carpet.webp,51950,false,false,true,14
popup_tent,play,/images/items/popup_tent.webp,48950,false,false,true,15
food_thermos,feeding,/images/items/food_thermos.webp,25950,false,false,true,16
folding_bathtub,travel,/images/items/folding_bathtub.webp,59990,false,false,true,17
secu_fence,play,/images/items/secu_fence.webp,159990,false,false,true,18
little-farm,play,/images/items/little-farm.webp,14940,false,false,true,19
sleeved_pocket_bib,feeding,/images/items/sleeved_pocket_bib.webp,21950,false,false,true,20
rainbow_stack,play,/images/items/rainbow_stack.webp,15950,false,false,true,21
activitybook_newborn,play,/images/items/activitybook_newborn.webp,17950,false,false,true,22
bed_walnut,furniture,/images/items/bed_walnut.webp,169950,false,false,true,23
philips_avent,other,/images/items/philips_avent.webp,57140,false,false,true,24
matrascover_green,textiles,/images/items/matrascover_green.webp,13940,false,false,true,25
sleeping_bag,textiles,/images/items/sleeping_bag.webp,23790,false,false,true,26
sunglasses,travel,/images/items/sunglasses.webp,34900,false,false,true,27
swimmingpool,travel,/images/items/swimmingpool.webp,16950,false,false,true,28
sophie_giraffe,care,/images/items/sophie_giraffe.webp,11990,false,false,true,29
baby_flashcard,play,/images/items/baby_flashcard.webp,22990,false,false,true,30
maxicosi_bed,travel,/images/items/maxicosi_bed.webp,184000,false,false,true,31
babybjorn_hammock,other,/images/items/babybjorn_hammock.webp,32820,false,false,true,32
bibs_silicon,feeding,/images/items/bibs_silicon.webp,7000,false,false,true,33
diaper_contribution,care,/images/items/diaper_contribution.webp,,false,false,true,34
stokkesys_1,furniture,/images/items/stokkesys_1.webp,129000,false,false,true,35
stokkesys_2,furniture,/images/items/stokkesys_2.webp,69000,false,false,true,36
stokkesys_3,furniture,/images/items/stokkesys_3.webp,49000,false,false,true,37
stokkesys_4,furniture,/images/items/stokkesys_4.webp,25000,false,false,true,38
tetra_cloth,textiles,/images/items/tetra_cloth.webp,25990,false,false,true,39
blanket_bamboo,feeding,/images/items/blanket_bamboo.webp,19990,false,false,true,40
pots_glass_6pack,feeding,/images/items/pots_glass_6pack.webp,40000,false,false,true,41
toothbrush_silicon,care,/images/items/toothbrush_silicon.webp,12170,false,false,true,42
tootbrush,care,/images/items/tootbrush.webp,9500,false,false,true,43
bag_isotherm,other,/images/items/bag_isotherm.webp,35900,false,false,true,44
dinnerset_inox,feeding,/images/items/dinnerset_inox.webp,37900,false,false,true,45
wood_rocker,play,/images/items/wood_rocker.webp,80000,false,false,true,46
